Timestamp,HR [bpm]
1689940516460,84.099998
1689940517131,85.000000
1689940517820,85.700005
1689940518531,86.200005
1689940519201,86.500000
1689940519881,87.000000
1689940520599,86.500000
1689940521323,85.300003
1689940522042,85.000000
1689940522802,83.400002
1689940523526,82.000000
1689940524290,81.599998
1689940525009,82.099998
1689940525681,83.000000
1689940526362,84.300003
1689940527081,84.900002
1689940527800,85.300003
1689940528426,86.800003
1689940529117,87.599998
1689940529827,87.500000
1689940530498,86.500000
1689940531225,86.700005
1689940531905,86.200005
1689940532626,85.099998
1689940533377,83.500000
1689940534152,81.900002
1689940534953,80.300003
1689940535721,79.400002
1689940536481,78.800003
1689940537248,78.599998
1689940538013,79.500000
1689940538693,80.300003
1689940539361,82.400002
1689940540041,84.099998
1689940540713,85.000000
1689940541432,84.500000
1689940542257,82.800003
1689940542934,83.000000
1689940543688,81.800003
1689940544466,80.200005
1689940545275,79.099998
1689940546026,79.000000
1689940546793,78.500000
1689940547554,77.900002
1689940548365,78.000000
1689940549101,78.500000
1689940549846,78.400002
1689940550657,77.400002
1689940551469,76.700005
1689940552230,76.400002
1689940553090,75.500000
1689940553945,74.700005
1689940554723,74.599998
1689940555515,74.300003
1689940556327,74.099998
1689940557188,73.500000
1689940557944,74.000000
1689940558800,73.400002
1689940559661,72.800003
1689940560509,72.000000
1689940561330,72.000000
1689940562144,72.200005
1689940562987,72.200005
1689940563843,71.400002
1689940564699,71.800003
1689940565519,71.700005
1689940566362,71.599998
1689940567187,72.000000
1689940567936,73.800003
1689940568746,74.599998
1689940569556,74.500000
1689940570370,73.800003
1689940571223,73.099998
1689940572035,73.700005
1689940572750,74.800003
1689940573564,75.300003
1689940574323,75.700005
1689940575132,76.200005
1689940575904,77.000000
1689940576666,76.800003
1689940577434,78.200005
1689940578151,79.200005
1689940578871,79.599998
1689940579638,79.900002
1689940580400,80.099998
1689940581120,80.000000
1689940581912,79.700005
1689940582661,78.700005
1689940583437,79.300003
1689940584190,78.700005
1689940584994,77.800003
1689940585803,76.700005
1689940586565,76.900002
1689940587340,77.500000
1689940588097,78.200005
1689940588863,78.200005
1689940589635,77.700005
1689940590440,77.300003
1689940591174,77.800003
1689940591970,77.900002
1689940592731,77.500000
1689940593514,77.700005
1689940594318,76.900002
1689940595116,75.500000
1689940595973,74.900002
1689940596801,73.800003
1689940597641,73.300003
1689940598460,72.900002
1689940599268,72.900002
1689940600085,73.300003
1689940600890,73.599998
1689940601645,74.700005
1689940602407,76.000000
1689940603127,76.800003
1689940603848,78.800003
1689940604613,79.900002
1689940605335,79.900002
1689940606066,80.099998
1689940606816,80.500000
1689940607539,81.300003
1689940608226,81.599998
1689940608940,82.500000
1689940609608,84.200005
1689940610298,85.099998
1689940611005,85.400002
1689940611725,84.200005
1689940612536,83.599998
1689940613295,81.500000
1689940614108,80.500000
1689940614917,78.599998
1689940615722,78.000000
1689940616491,78.000000
1689940617213,78.500000
1689940617934,79.900002
1689940618620,80.599998
1689940619285,82.900002
1689940619999,83.599998
1689940620720,83.800003
1689940621487,82.599998
1689940622303,81.900002
1689940623118,80.800003
1689940623916,79.099998
1689940624728,77.200005
1689940625585,75.099998
1689940626406,74.000000
1689940627262,73.599998
1689940628100,72.900002
1689940628955,71.800003
1689940629814,71.700005
1689940630672,70.800003
1689940631569,69.700005
1689940632483,68.900002
1689940633334,68.500000
1689940633772,68.500000
1689940634225,68.500000
1689940635090,68.599998
1689940635996,68.700005
1689940636836,68.700005
1689940637695,69.099998
1689940638549,69.599998
1689940639394,69.800003
1689940640251,69.700005
1689940641061,71.099998
1689940641872,72.300003
1689940642683,73.099998
1689940643537,72.200005
1689940644433,70.599998
1689940645289,70.200005
1689940646198,68.900002
1689940647136,67.500000
1689940648033,67.700005
1689940648893,67.500000
1689940649810,67.300003
1689940650736,67.000000
1689940651607,67.400002
1689940652490,67.300003
1689940653400,67.000000
1689940654294,67.200005
1689940655146,67.500000
1689940656060,67.300003
1689940656948,67.200005
1689940657852,67.700005
1689940658743,67.300003
1689940659642,67.000000
1689940660506,67.400002
1689940661397,67.300003
1689940662308,67.000000
1689940663199,67.000000
1689940664062,67.700005
1689940664954,67.500000
1689940665858,67.200005
1689940666759,67.300003
1689940667657,66.800003
1689940668605,66.300003
1689940669543,65.800003
1689940670398,66.500000
1689940671349,66.000000
1689940672246,65.800003
1689940673147,66.300003
1689940674071,65.800003
1689940674989,65.800003
1689940675896,66.000000
1689940676799,66.300003
1689940677689,66.099998
1689940678593,66.000000
1689940679495,66.800003
1689940680410,66.300003
